Default channel group,Data driven path attributed conversions,Conversions,Purchase revenue,Days to conversion,Touchpoints to conversion
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,16060,31343.89934,13.0007472,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,13455,219649.6849,4.89015236,5.761724266
"[""Paid Search"",""Paid Video""]",NaN,12671,19877.0531,11.01570515,2
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,12255,9386.974943,2.337086903,12
"[""Organic Video"",""Organic Video"",""Organic Video""]",NaN,11885,38533.71571,0.262852335,3.125957089
"[""Organic Video"",""Organic Video""]",NaN,11550,22800.65598,0.187359307,2.136796537
"[""Paid Video"",""Paid Video"",""Paid Video""]",NaN,11391,4249.998728,7.513738917,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,11077,419.995734,4.879570281,20
"[""Referral""]",NaN,10386,66149.65014,1.145291739,1.02339688
"[""Display"",""Display""]",NaN,10300,6480.008873,14.15456311,2.000194175
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,10276,480676.6238,13.38886726,20
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,9703,218683.9595,7.083376275,6.696279501
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,9689,171753.5991,17.97440396,4.062338735
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,9196,1189.998999,3.364506307,7
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,8784,11129.40874,12.6079235,6
"[""Cross-network"",""Cross-network"",""Paid Video""]",NaN,8508,6539.998568,33.43641279,3
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,8262,9471.588332,3.722343258,10
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,8255,1025.999113,3.514476075,8
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,7785,0,3.609120103,9
"[""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video""]",NaN,7422,1299.998974,0.014012396,6
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,7313,35704.61042,4.263776836,20
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,7192,105680.9981,9.013626251,7.903921023
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,7167,7009.556036,3.373238454,8
"[""Paid Video"",""Organic Video""]",NaN,7105,1852.03041,1.95862069,2
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,6982,427400.4838,22.45087368,21.71584073
"[""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video""]",NaN,6587,5127.99789,0.158190375,4
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,6506,92899.2002,17.01721488,5.026898248
"[""Paid Video"",""Paid Search""]",NaN,6456,10029.94721,11.07202602,2
"[""Referral"",""Referral""]",NaN,6155,228781.4443,10.82583266,2.049715678
"[""Cross-network"",""Paid Video"",""Paid Video""]",NaN,5835,8627.418465,31.28277635,3
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,5567,57275.25509,14.32584875,6.008622238
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,5290,131897.5095,12.38223062,8.769754253
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,5163,14832.99015,10.46290916,7
"[""Cross-network"",""Paid Search"",""Paid Search""]",NaN,4783,54589.84227,27.3671336,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,4775,1979.99749,4.712879581,10
"[""Paid Other"",""Paid Other""]",NaN,4686,1331.999002,0.381988903,2
"[""Organic Social"",""Organic Social""]",NaN,4671,47775.995,0.501605652,2.07921216
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,4453,0,4.664495845,11
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,4439,36772.44799,0.719531426,4.355034918
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,4203,0,4.816797526,12
"[""Paid Video"",""Cross-network"",""Cross-network""]",NaN,4160,5188.903691,14.20360577,3
"[""Paid Other"",""Paid Other"",""Paid Other""]",NaN,3970,0,0.402267003,3
"[""Cross-network"",""Cross-network"",""Paid Search""]",NaN,3851,68820.12603,30.27966762,3
"[""Display"",""Cross-network""]",NaN,3836,3477.999924,53.02528676,2
"[""Referral"",""Referral"",""Referral""]",NaN,3503,73796.89823,6.099914359,3.122466457
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,3486,134740.9777,15.78169822,10.22633391
"[""Paid Search"",""Referral"",""Referral""]",NaN,3382,6705.717758,0.239798936,4.941750444
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,3316,2429.999539,8.932448733,8
"[""Paid Video"",""Paid Video"",""Paid Video"",""Paid Video""]",NaN,3134,0,9.183790683,4
"[""Display"",""Paid Search""]",NaN,3065,10548.12456,42.07438825,2.007177814
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2994,254084.6994,37.11055444,19
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2989,25068.00089,21.43358983,7.009367681
"[""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2966,91762.52581,6.759608901,4.298044504
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,2957,11347.20351,0.69529929,5.25870815
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,2919,7693.722223,5.575882151,14
"[""Paid Video"",""Organic Video"",""Organic Video""]",NaN,2828,2272.562576,2.065063649,3
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,2828,4282.698331,4.618458274,18
"[""Cross-network"",""Organic Search"",""Organic Search""]",NaN,2714,32319.82362,11.92262343,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2681,0,5.413651623,13
"[""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2627,18213.35873,29.62352493,4
"[""Display"",""Display"",""Display""]",NaN,2601,1180.000069,20.45059592,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2597,62087.93681,13.32614555,10.87023489
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2564,3359.999528,5.414196568,14
"[""Cross-network"",""Paid Video"",""Cross-network""]",NaN,2512,3910.998651,29.96934713,3
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,2466,6463.99466,9.085158151,9
"[""Paid Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,2435,981.383998,1.516221766,4
"[""Cross-network"",""Cross-network"",""Cross-network"",""Paid Video""]",NaN,2435,1859.999087,35.88952772,4
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2399,0,5.576907045,15
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2355,24221.45053,15.32526539,8.006794055
"[""Organic Search"",""Organic Search"",""Paid Search""]",NaN,2328,38127.59133,21.68213058,3.00257732
"[""Organic Social"",""Organic Social"",""Organic Social""]",NaN,2212,42632.96549,6.756329114,3.22920434
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2157,18354.17748,11.91052388,9.004172462
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2150,327078.7698,15.89395349,23.58139535
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2118,0,5.653918791,19
"[""Cross-network"",""Cross-network"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,2102,43049.94454,42.92959087,8
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2074,14861.54764,11.13837994,4.379942141
"[""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network"",""Paid Search"",""Cross-network""]",NaN,2063,3437.811217,6.3630635,16
"[""Paid Search"",""Organic Search""]",NaN,2040,8508.228859,4.979411765,2.091176471
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,2022,18156.8528,0.793273986,6.388724036
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,2011,2879.995276,3.902038787,20
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2004,79090.49373,19.5494012,12.92814371
"[""Cross-network"",""Display""]",NaN,1994,10879.99961,29.12888666,2
"[""Paid Search"",""Cross-network"",""Cross-network""]",NaN,1974,17373.9236,39.42451874,3
"[""Paid Search"",""Paid Search"",""Cross-network""]",NaN,1941,41958.28723,36.58578053,3
"[""Organic Social""]",NaN,1935,24560.99194,0.527131783,1.08630491
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1915,32097.60221,11.0694517,5.817232376
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1888,45724.50599,12.02436441,12.01006356
"[""Paid Video"",""Paid Video"",""Cross-network""]",NaN,1802,2719.810467,10.70810211,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1770,911.999136,6.089830508,16
"[""Cross-network"",""Organic Video""]",NaN,1700,9701.138157,12.04647059,2
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,1650,31617.99014,21.50060606,10
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,1631,43516.70247,2.167995095,4.17167382
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1621,62807.55006,42.30413325,20.82665022
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1598,0,6.40175219,17
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1582,42805.25828,2.89380531,6.115676359
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,1581,17471.99164,10.53636939,19
"[""Paid Video"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,1577,2624.345423,15.03424223,4
"[""Organic Search"",""Organic Search"",""Cross-network""]",NaN,1569,29930.79955,22.72912683,3
"[""Paid Video"",""Paid Search"",""Paid Search""]",NaN,1557,2156.753806,10.7970456,3
"[""Cross-network"",""Cross-network"",""Paid Video"",""Paid Video""]",NaN,1549,5149.997785,37.77856682,4
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1516,19548.15483,12.92480211,7.218997361
"[""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video""]",NaN,1486,839.997572,0.472409152,20
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1481,0,6.444969615,18
"[""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video""]",NaN,1477,3490.309662,0.794177387,8
"[""Paid Video"",""Paid Video"",""Organic Video""]",NaN,1451,0,6.904203997,3
"[""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video"",""Organic Video""]",NaN,1443,15906.37662,1.070686071,7.232848233
"[""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other""]",NaN,1424,1099.999968,0.752106742,4
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,1422,39285.94359,21.37623066,11.00773558
"[""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video""]",NaN,1388,1049.998274,0.902737752,12
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1377,7331.70955,9.347857662,9.02832244
"[""SMS""]",NaN,1340,21001.57,2.091791045,1.000746269
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1314,43242.20802,9.497716895,6.698630137
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,1311,1002.998785,7.420289855,10
"[""Display"",""Cross-network"",""Cross-network""]",NaN,1302,6530.074121,58.07142857,3
"[""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network""]",NaN,1293,9340.429309,21.13225058,4
"[""Cross-network"",""Paid Video"",""Paid Video"",""Paid Video""]",NaN,1256,3599.998897,31.89729299,4
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1252,49923.11699,15.60942492,14.06948882
"[""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,1249,96756.75581,9.608486789,20
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,1224,5343.996723,13.36029412,12
"[""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video"",""Paid Search"",""Paid Video""]",NaN,1217,0,0.926047658,10
"[""Cross-network"",""Organic Search""]",NaN,1187,3369.247832,6.737994945,2
"[""Organic Search"",""Paid Search""]",NaN,1186,8533.995255,20.93086003,2.005059022
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,1163,50743.30864,24.08512468,4.213241617
"[""Paid Search"",""Paid Search"",""Paid Video""]",NaN,1161,17109.99862,33.416882,3
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,1151,0,6.962641182,11
"[""Display"",""Display"",""Display"",""Display""]",NaN,1126,1307.99896,25.82149201,4
"[""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1085,16724.12302,14.64608295,4
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,1084,136468.3574,29.23062731,21.58671587
"[""Cross-network"",""Cross-network"",""Cross-network"",""Paid Search""]",NaN,1070,8561.843771,39.1588785,4
"[""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,1053,22729.99185,20.12725546,4.144349478
"[""Display"",""Display"",""Cross-network""]",NaN,1049,1500.747022,53.4613918,3
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1046,137712.3262,5.946462715,7.843212237
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,1039,8034.403954,14.38787295,5.014436959
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1037,29554.95299,14.26133076,15.512054
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1037,38976.56843,19.84281581,16.08486017
"[""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1030,59330.56888,34.76504854,20
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,1021,41209.2384,4.682664055,5.368266405
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Paid Video""]",NaN,1016,1199.999713,36.4773622,5
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,978,8263.925558,12.200409,9.668711656
"[""Cross-network"",""Cross-network"",""Paid Search"",""Paid Search""]",NaN,977,12727.11415,35.4790174,4
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,972,5520.000243,9.605967078,12
"[""Paid Search"",""Cross-network"",""Paid Search""]",NaN,972,37693.48153,42.06069959,3
"[""Email"",""Email"",""Email"",""Email""]",NaN,965,24636.86339,3.369948187,4
"[""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,963,25046.67816,21.32398754,5
"[""Paid Video"",""Paid Video"",""Paid Video"",""Paid Video"",""Paid Video""]",NaN,934,119.999886,9.872591006,5
"[""Paid Video"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,923,2720.012886,12.96858072,4
"[""Cross-network"",""Unassigned""]",NaN,893,0,33.0593505,2
"[""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other"",""Paid Other""]",NaN,889,0,1.384701912,5
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,882,32081.98925,20.33446712,13
